S.No.,Country,2021-2022,%Share,2022-2023,%Share,%Growth
1,AFGHANISTAN,412904.21,0.1312,349497.81,0.0965,-15.36
2,ALBANIA,41040.28,0.013,282091.42,0.0779,587.35
3,ALGERIA,523800.52,0.1664,493476.51,0.1363,-5.79
4,AMERI SAMOA,578.07,0.0002,22.64,0,-96.08
5,ANDORRA,36.8,0,181.19,0.0001,392.33
6,ANGOLA,337797.68,0.1073,499169.47,0.1378,47.77
7,ANGUILLA,67.78,0,33.96,0,-49.9
8,ANTARTICA,56.01,0,83.86,0,49.73
9,ANTIGUA,1846.21,0.0006,2339.83,0.0006,26.74
10,ARGENTINA,1066132.05,0.3388,766711.04,0.2117,-28.08
11,ARMENIA,20436.52,0.0065,49566.44,0.0137,142.54
12,ARUBA,4639.37,0.0015,11812.97,0.0033,154.62
13,AUSTRALIA,6184104.67,1.9651,5555482.59,1.534,-10.17
14,AUSTRIA,420510.6,0.1336,1017757.23,0.281,142.03
15,AZERBAIJAN,27149.22,0.0086,81373.28,0.0225,199.73
16,BAHAMAS,6011.63,0.0019,10344.33,0.0029,72.07
17,BAHARAIN IS,670604.98,0.2131,778779.62,0.215,16.13
18,BANGLADESH PR,12053472.57,3.8301,9778450.59,2.7001,-18.87
19,BARBADOS,12079.32,0.0038,19252.77,0.0053,59.39
20,BELARUS,48682.85,0.0155,35191.95,0.0097,-27.71
21,BELGIUM,7522465.09,2.3903,7099803.3,1.9604,-5.62
22,BELIZE,11382.25,0.0036,12836.57,0.0035,12.78
23,BENIN,534781.14,0.1699,720409.46,0.1989,34.71
24,BERMUDA,4125.44,0.0013,4052.2,0.0011,-1.78
25,BHUTAN,660458.94,0.2099,866258.27,0.2392,31.16
26,BOLIVIA,87736.29,0.0279,61950.03,0.0171,-29.39
27,BOSNIA-HRZGOVIN,12679.18,0.004,13886.29,0.0038,9.52
28,BOTSWANA,207735.71,0.066,135225.3,0.0373,-34.91
29,BR VIRGN IS,267.22,0.0001,366.33,0.0001,37.09
30,BRAZIL,4834955.97,1.5364,7960684.39,2.1981,64.65
31,BRITISH INDIAN,,,22.45,0,
32,BRUNEI,32168.79,0.0102,55771.83,0.0154,73.37
33,BULGARIA,184187.34,0.0585,170058.28,0.047,-7.67
34,BURKINA FASO,146552.11,0.0466,141939.91,0.0392,-3.15
35,BURUNDI,45051.97,0.0143,34538.81,0.0095,-23.34
36,C AFRI REP,15044.04,0.0048,16582.74,0.0046,10.23
37,CAMBODIA,148094.49,0.0471,177043.2,0.0489,19.55
38,CAMEROON,300937.09,0.0956,448317.89,0.1238,48.97
39,CANADA,2807081.58,0.892,3293896.84,0.9095,17.34
40,CAPE VERDE IS,4673.85,0.0015,3599.72,0.001,-22.98
41,CAYMAN IS,4945.46,0.0016,4566.31,0.0013,-7.67
42,CHAD,39456.17,0.0125,46302.68,0.0128,17.35
43,CHILE,880788.26,0.2799,936922.46,0.2587,6.37
44,CHINA P RP,15821547.51,5.0275,12277398.94,3.3901,-22.4
45,CHRISTMAS IS.,4.93,0,,,
46,COCOS IS,,,9.63,0,
47,COLOMBIA,1026657.94,0.3262,1158746.81,0.32,12.87
48,COMOROS,17207.29,0.0055,32288.85,0.0089,87.65
49,CONGO D. REP.,423430.26,0.1345,506600.44,0.1399,19.64
50,CONGO P REP,120169.53,0.0382,143740.8,0.0397,19.62
51,COOK IS,29.74,0,110.41,0,271.21
52,COSTA RICA,109968.2,0.0349,154744.75,0.0427,40.72
53,COTE D' IVOIRE,542890.91,0.1725,715413.8,0.1975,31.78
54,CROATIA,370028.05,0.1176,268759.08,0.0742,-27.37
55,CUBA,19720.13,0.0063,64742.17,0.0179,228.31
56,CYPRUS,104771.39,0.0333,65837.48,0.0182,-37.16
57,CZECH REPUBLIC,468796.09,0.149,943900.13,0.2606,101.35
58,DENMARK,704095,0.2237,730921.44,0.2018,3.81
59,DJIBOUTI,531948.7,0.169,964245.67,0.2663,81.27
60,DOMINIC REP,231129.08,0.0734,264187.37,0.0729,14.3
61,DOMINICA,2088,0.0007,2318.38,0.0006,11.03
62,ECUADOR,227380.57,0.0723,321623.68,0.0888,41.45
63,EGYPT A RP,2792214.03,0.8873,3312344.29,0.9146,18.63
64,EL SALVADOR,120683.6,0.0383,101785.82,0.0281,-15.66
65,EQUTL GUINEA,9266.89,0.0029,18556.44,0.0051,100.24
66,ERITREA,13119.83,0.0042,14607.38,0.004,11.34
67,ESTONIA,46301.33,0.0147,56760.09,0.0157,22.59
68,ETHIOPIA,507683.3,0.1613,469823.99,0.1297,-7.46
69,FALKLAND IS,1.21,0,0.58,0,-52.38
70,FAROE IS.,200.44,0.0001,289.21,0.0001,44.29
71,FIJI IS,43254.29,0.0137,64389.1,0.0178,48.86
72,FINLAND,256689.24,0.0816,427960.11,0.1182,66.72
73,FR GUIANA,1549.08,0.0005,1208.28,0.0003,-22
74,FR POLYNESIA,6878.45,0.0022,8154.39,0.0023,18.55
75,FRANCE,4960509.68,1.5763,6104859.4,1.6857,23.07
76,GABON,39504.23,0.0126,64736.71,0.0179,63.87
