S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,2,MEAT AND EDIBLE MEAT OFFAL.,228833.03,252334.78,10.27
2,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2390.31,7528.15,214.94
3,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",15068.13,14219.32,-5.63
4,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",510.42,170.28,-66.64
5,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,24463.84,42480.21,73.64
6,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,3266.53,4963.91,51.96
7,9,"COFFEE, TEA, MATE AND SPICES.",64522.6,94698.69,46.77
8,10,CEREALS.,128179.32,276563.9,115.76
9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,51661.33,36997.7,-28.38
10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",254607.04,246594.46,-3.15
11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",9560.73,9276.03,-2.98
12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,16.7,68.5,310.16
13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,3034.68,6664.31,119.61
14,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",228.54,,
15,17,SUGARS AND SUGAR CONFECTIONERY.,674741.54,363669.18,-46.1
16,18,COCOA AND COCOA PREPARATIONS.,11201.67,10044.97,-10.33
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",238.06,223.26,-6.22
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",4941.53,11213.25,126.92
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,10759.83,24684.61,129.41
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",12.76,98.66,673.18
