S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",98927.1,90779.62,-8.24
2,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",455.1,2477.15,444.31
3,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",244.01,274.28,12.41
4,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,14710.77,12844.6,-12.69
5,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,9849.71,11068.8,12.38
6,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,141820.05,151514.94,6.84
7,9,"COFFEE, TEA, MATE AND SPICES.",43548.22,40602.55,-6.76
8,10,CEREALS.,37147.44,72432,94.99
9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,12839.9,26419.96,105.76
10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",29073.81,34139.89,17.42
11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",7659.2,11962.67,56.19
12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,185.84,195.36,5.12
13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,138615.19,160540.17,15.82
14,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",3477.11,4288.51,23.34
15,17,SUGARS AND SUGAR CONFECTIONERY.,47938.89,64880.81,35.34
16,18,COCOA AND COCOA PREPARATIONS.,5724.8,3837.53,-32.97
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",4048.6,4266.22,5.38
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",54319.11,61050.2,12.39
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,11274.83,9441.44,-16.26
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",8928.36,7579.51,-15.11
21,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,52265.82,25387.03,-51.43
22,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,19139.26,7143.87,-62.67
23,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",7718.74,6846.92,-11.29
24,26,"ORES, SLAG AND ASH.",37365.27,21384.32,-42.77
25,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3945519.46,10140505.39,157.01
26,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",26805.22,45787.59,70.82
27,29,ORGANIC CHEMICALS,806066.46,996592.92,23.64
28,30,PHARMACEUTICAL PRODUCTS,243886.95,370695.48,51.99
29,31,FERTILISERS.,239.72,453.69,89.26
30,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",102845.15,93374.35,-9.21
31,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",42421.78,51606.19,21.65
32,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",9983.54,11351.28,13.7
33,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2562.99,2723.15,6.25
34,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,25.69,194.16,655.66
35,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,8.39,2.48,-70.5
