S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,2,MEAT AND EDIBLE MEAT OFFAL.,118506.1,156249.54,31.85
2,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",26811.11,31511.35,17.53
3,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",22405.88,31273.82,39.58
4,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",13.52,,
5,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,428.25,465.35,8.66
6,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,19311.77,34300.97,77.62
7,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,69815.47,81853.61,17.24
8,9,"COFFEE, TEA, MATE AND SPICES.",73855.82,100404.91,35.95
9,10,CEREALS.,539347.25,942857.11,74.81
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,7573.9,12734.96,68.14
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",10850.47,13681.48,26.09
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1519.63,3040.36,100.07
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,259.96,1443.3,455.21
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,6524.9,12931.81,98.19
15,17,SUGARS AND SUGAR CONFECTIONERY.,188499.63,232295.26,23.23
16,18,COCOA AND COCOA PREPARATIONS.,7380.87,5423.32,-26.52
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",10587.51,15206.25,43.62
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",25423.42,45994.83,80.92
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,13254.17,17841.64,34.61
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",279.99,464.67,65.96
21,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,3059.58,31722.16,936.81
22,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,7344.15,8863.76,20.69
23,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",52354.29,66217.41,26.48
24,26,"ORES, SLAG AND ASH.",3227.01,8015.7,148.39
25,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1834630.67,1568521.41,-14.5
26,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",81960.14,109157.73,33.18
27,29,ORGANIC CHEMICALS,801279.62,861468.45,7.51
28,30,PHARMACEUTICAL PRODUCTS,56364.6,90337.66,60.27
29,31,FERTILISERS.,63.05,65.11,3.27
30,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",20727.75,26044.39,25.65
31,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",39223.66,56516.57,44.09
32,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",22335.31,38821.82,73.81
33,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,15867.29,23090.25,45.52
34,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,1324.22,2699.2,103.83
35,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,28.46,50.71,78.23
36,38,MISCELLANEOUS CHEMICAL PRODUCTS.,49647.23,94235.21,89.81
37,39,PLASTIC AND ARTICLES THEREOF.,96486.55,153153.4,58.73
38,40,RUBBER AND ARTICLES THEREOF.,59026.66,82408.77,39.61
39,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,52.97,25.44,-51.97
40,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",5090.21,5976.27,17.41
41,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",86.68,8.34,-90.38
42,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,11409.2,17305.73,51.68
43,45,CORK AND ARTICLES OF CORK.,464.72,387.96,-16.52
44,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",1019.31,1463.98,43.62
45,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,234.02,649.55,177.56
46,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",130694.06,113473.75,-13.18
47,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",2397.81,3883.36,61.95
48,50,SILK,142.1,81.73,-42.48
49,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",286.26,436.3,52.41
50,52,COTTON.,6076.79,11527.97,89.7
51,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,6198.43,4862.28,-21.56
52,54,MAN-MADE FILAMENTS.,17665.47,30145.46,70.65
53,55,MAN-MADE STAPLE FIBRES.,16940.08,21373.73,26.17
54,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",2846.64,4697.01,65
55,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,7712.94,9323.72,20.88
56,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,2983.24,4577.19,53.43
57,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",7390.89,6891.67,-6.75
58,60,KNITTED OR CROCHETED FABRICS.,671.47,546.47,-18.62
59,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",171469.65,194730.47,13.57
60,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",113098.06,137876.5,21.91
