S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,1,LIVE ANIMALS.,3498.44,3216.07,-8.07
2,2,MEAT AND EDIBLE MEAT OFFAL.,122466.87,163204.46,33.26
3,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",121142.87,119083.21,-1.7
4,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",50793.45,58080.16,14.35
5,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",29.76,37.15,24.81
6,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,3659.65,4733,29.33
7,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,152983.17,214578.33,40.26
8,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,218171.53,235649.93,8.01
9,9,"COFFEE, TEA, MATE AND SPICES.",220417.4,302854.29,37.4
10,10,CEREALS.,363087.81,523521.35,44.19
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,45267.73,43591.32,-3.7
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",45640.17,52001.8,13.94
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",16017.89,15048.39,-6.05
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,1130.73,1477.31,30.65
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,26382.21,40017.88,51.69
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1132.02,2247.61,98.55
17,17,SUGARS AND SUGAR CONFECTIONERY.,223799,243774.71,8.93
18,18,COCOA AND COCOA PREPARATIONS.,7375.55,6719.21,-8.9
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",28683.11,40187.53,40.11
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",35280.12,47288.32,34.04
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,97760.01,89042.91,-8.92
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",70631.38,80851.44,14.47
